2019 Federal Election House of Representatives Party Representation [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:44 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,National,LastElection
Liberal,15,12,0,11,4,2,0,0,44,45
Liberal National Party,0,0,23,0,0,0,0,0,23,21
The Nationals,7,3,0,0,0,0,0,0,10,10
Country Liberals (NT),0,0,0,0,0,0,0,0,0,0
Australian Labor Party,24,21,6,5,5,2,3,2,68,69
The Greens,0,1,0,0,0,0,0,0,1,1
Katter's Australian Party (KAP),0,0,1,0,0,0,0,0,1,1
Centre Alliance,0,0,0,0,1,0,0,0,1,1
United Australia Party,0,0,0,0,0,0,0,0,0,0
Pauline Hanson's One Nation,0,0,0,0,0,0,0,0,0,0
FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,0,0,0,0,0,0,0,0,0
Animal Justice Party,0,0,0,0,0,0,0,0,0,0
Christian Democratic Party,0,0,0,0,0,0,0,0,0,0
Sustainable Australia,0,0,0,0,0,0,0,0,0,0
WESTERN AUSTRALIA PARTY,0,0,0,0,0,0,0,0,0,0
Rise Up Australia Party,0,0,0,0,0,0,0,0,0,0
Australian Christians,0,0,0,0,0,0,0,0,0,0
Liberal Democrats (LDP),0,0,0,0,0,0,0,0,0,0
DLP - Democratic Labour Party,0,0,0,0,0,0,0,0,0,0
Derryn Hinch's Justice Party,0,0,0,0,0,0,0,0,0,0
"Shooters, Fishers and Farmers",0,0,0,0,0,0,0,0,0,0
Science Party,0,0,0,0,0,0,0,0,0,0
Australian Progressives,0,0,0,0,0,0,0,0,0,0
The Great Australian Party,0,0,0,0,0,0,0,0,0,0
Australia First Party (NSW) Incorporated,0,0,0,0,0,0,0,0,0,0
Socialist Equality Party,0,0,0,0,0,0,0,0,0,0
Reason Australia,0,0,0,0,0,0,0,0,0,0
Socialist Alliance,0,0,0,0,0,0,0,0,0,0
Victorian Socialists,0,0,0,0,0,0,0,0,0,0
Citizens Electoral Council,0,0,0,0,0,0,0,0,0,0
Australian Better Families,0,0,0,0,0,0,0,0,0,0
Australian Democrats,0,0,0,0,0,0,0,0,0,0
Australian Workers Party,0,0,0,0,0,0,0,0,0,0
Child Protection Party,0,0,0,0,0,0,0,0,0,0
Involuntary Medication Objectors (Vaccination/Fluoride) Party,0,0,0,0,0,0,0,0,0,0
Love Australia or Leave,0,0,0,0,0,0,0,0,0,0
Non-Custodial Parents Party,0,0,0,0,0,0,0,0,0,0
VOTEFLUX.ORG | Upgrade Democracy!,0,0,0,0,0,0,0,0,0,0
Independent,1,1,0,0,0,1,0,0,3,2
Non Affiliated,0,0,0,0,0,0,0,0,0,0
Too close to attribute,0,0,0,0,0,0,0,0,0,-
