,State,Division,Electors on 2019 Certified list 
1,NSW,BANKS                    ,"106,364"
2,NSW,BARTON                   ,"109,077"
3,NSW,BENNELONG                ,"108,872"
4,NSW,BEROWRA                  ,"106,399"
5,NSW,BLAXLAND                 ,"105,422"
6,NSW,BRADFIELD                ,"107,366"
7,NSW,CALARE                   ,"118,229"
8,NSW,CHIFLEY                  ,"112,069"
9,NSW,COOK                     ,"107,052"
10,NSW,COWPER                   ,"124,507"
11,NSW,CUNNINGHAM               ,"115,312"
12,NSW,DOBELL                   ,"117,359"
13,NSW,EDEN-MONARO              ,"114,140"
14,NSW,FARRER                   ,"115,659"
15,NSW,FOWLER                   ,"106,975"
16,NSW,GILMORE                  ,"122,536"
17,NSW,GRAYNDLER                ,"109,645"
18,NSW,GREENWAY                 ,"110,343"
19,NSW,HUGHES                   ,"106,274"
20,NSW,HUME                     ,"116,495"
21,NSW,HUNTER                   ,"121,560"
22,NSW,KINGSFORD SMITH          ,"111,170"
23,NSW,LINDSAY                  ,"118,801"
24,NSW,LYNE                     ,"118,865"
25,NSW,MACARTHUR                ,"119,152"
26,NSW,MACKELLAR                ,"110,899"
27,NSW,MACQUARIE                ,"108,039"
28,NSW,MCMAHON                  ,"106,806"
29,NSW,MITCHELL                 ,"110,402"
30,NSW,NEW ENGLAND              ,"111,979"
31,NSW,NEWCASTLE                ,"117,746"
32,NSW,NORTH SYDNEY             ,"109,278"
33,NSW,PAGE                     ,"122,833"
34,NSW,PARKES                   ,"109,639"
35,NSW,PARRAMATTA               ,"103,186"
36,NSW,PATERSON                 ,"122,941"
37,NSW,REID                     ,"108,964"
38,NSW,RICHMOND                 ,"119,446"
39,NSW,RIVERINA                 ,"114,109"
40,NSW,ROBERTSON                ,"111,255"
41,NSW,SHORTLAND                ,"114,194"
42,NSW,SYDNEY                   ,"114,239"
43,NSW,WARRINGAH                ,"105,077"
44,NSW,WATSON                   ,"107,810"
45,NSW,WENTWORTH                ,"103,567"
46,NSW,WERRIWA                  ,"117,739"
47,NSW,WHITLAM                  ,"118,815"
